dataset,seed,mae,r2,pearson
Dropout,81,0.2090469513809674,0.6478598484941573,0.8052898140716469
Dropout,82,0.2137849450544477,0.628270478966404,0.7952788928427214
Dropout,83,0.2106140368603812,0.6330048482231527,0.7958697199986783
Dropout,84,0.1983434739746975,0.6618161989408288,0.8136274875499924
Dropout,85,0.1988474085119627,0.6596776172124497,0.8122742052810115
Dropout,86,0.2080540655358824,0.6541329613421516,0.8093717088099476
Dropout,87,0.2075992441788158,0.6495815220872774,0.8068374568361077
Dropout,88,0.2001350686015061,0.6649112098588199,0.8156690874027156
Dropout,89,0.206750179949431,0.6409768481746518,0.8007772049566335
Dropout,90,0.2198398565402278,0.6128581392926628,0.7835141685762038
Dropout,91,0.2023818691774714,0.6713982344666914,0.8194507066403156
Dropout,92,0.2062088178377023,0.628496951845639,0.794395937313289
Dropout,93,0.2149307610083851,0.6318213047055452,0.7951367509571973
Dropout,94,0.1993880763373058,0.6717465955345174,0.8197095748095422
Dropout,95,0.2051433041440372,0.6755568216385783,0.8222006212513248
Dropout,96,0.2048157145198763,0.6646782632923376,0.8156226690271242
Dropout,97,0.2017504233643791,0.6471868789537631,0.8046592004651308
Dropout,98,0.2097577056561341,0.66194780557498,0.8138118706489783
Dropout,99,0.1978004027664565,0.7035749036370915,0.8397461973050816
EntranceExam,0,0.5823544476684452,0.4561772297518693,0.6952461199853134
EntranceExam,1,0.5739657151579006,0.5180461143312405,0.7209040307632684
EntranceExam,2,0.5552389430326071,0.5449439550574307,0.739928194353515
EntranceExam,3,0.5817078322792933,0.5091476527444907,0.7158123555893326
EntranceExam,4,0.5647367689416753,0.4132095158539056,0.658935847966797
EntranceExam,5,0.6028708204497035,0.3495411850829957,0.6175359199599734
EntranceExam,6,0.6023498682025663,0.4545509498807707,0.6846525072984859
EntranceExam,7,0.5830500009981388,0.4562924836563733,0.6758557409653363
EntranceExam,8,0.5799625978172184,0.4225691185934559,0.6567720028968113
EntranceExam,9,0.6308749737047377,0.4560581235322835,0.6797534689963582
EntranceExam,10,0.6451399854125535,0.397016554240979,0.6377999777468458
EntranceExam,11,0.5430524326680726,0.5059372135106778,0.7138742701907692
EntranceExam,12,0.5889178122954847,0.4574152709942265,0.6826334050098023
EntranceExam,13,0.5522863323872927,0.5011299768891772,0.7124081490074857
EntranceExam,14,0.6336059797981819,0.3684766567672898,0.6215531565068658
EntranceExam,15,0.6085262320905815,0.4187648610994965,0.6520671327873869
EntranceExam,16,0.6344401938259839,0.4459337037287041,0.6678241639113993
