dataset,seed,mae,r2,pearson
xAPI-Edu,62,0.3644480007262,0.4907313175277864,0.0
xAPI-Edu,63,0.3440721186566469,0.45781132993501583,0.0
xAPI-Edu,64,0.3856313851562949,0.522886382450502,0.0
xAPI-Edu,65,0.3816201692679207,0.5677435841520885,0.0
xAPI-Edu,66,0.359188837223978,0.5790128055689572,0.0
xAPI-Edu,67,0.34688193603113804,0.7309016506469149,0.0
xAPI-Edu,68,0.37685515057375013,0.6742954542011846,0.0
xAPI-Edu,69,0.3678619109378782,0.5334616305371279,0.0
xAPI-Edu,70,0.3270416304653297,0.6226572522504226,0.0
xAPI-Edu,71,0.3614759306981624,0.5712572750534454,0.0
xAPI-Edu,72,0.3697097437202158,0.5796139635966733,0.0
xAPI-Edu,73,0.3407248746293724,0.6115991977072703,0.0
xAPI-Edu,74,0.3679085620835061,0.6411435013767107,0.0
xAPI-Edu,75,0.32687458636334454,0.5758757106750502,0.0
xAPI-Edu,76,0.39650950738169044,0.6714256507164836,0.0
xAPI-Edu,77,0.3943080398089544,0.5212142797559645,0.0
xAPI-Edu,78,0.3568717797322756,0.5994104473893419,0.0
xAPI-Edu,79,0.3722401089325243,0.7758769174894906,0.0
xAPI-Edu,80,0.30304510864578377,0.6141702016198631,0.0
xAPI-Edu,81,0.3343214537696316,0.6965787816819627,0.0
xAPI-Edu,82,0.3558423141523908,0.6052111689379013,0.0
xAPI-Edu,83,0.3364225865841473,0.6385289191823452,0.0
xAPI-Edu,84,0.3809960219969075,0.5951119050250357,0.0
xAPI-Edu,85,0.41300403658939644,0.587374234268876,0.0
xAPI-Edu,86,0.33381579604016226,0.5458970433014267,0.0
xAPI-Edu,87,0.34227753104946923,0.6282817201617649,0.0
xAPI-Edu,88,0.3690463940779437,0.5409902070464356,0.0
xAPI-Edu,89,0.40336893888363323,0.6443042416374878,0.0
xAPI-Edu,90,0.332674106376825,0.672885378045446,0.0
xAPI-Edu,91,0.3693854049220494,0.6239390706252679,0.0
xAPI-Edu,92,0.40861294133932846,0.5794856047001031,0.0
xAPI-Edu,93,0.32196106906335126,0.6298932223311589,0.0
xAPI-Edu,94,0.33120968439305015,0.5779585379724013,0.0
xAPI-Edu,95,0.35260314794924313,0.6626882899419015,0.0
xAPI-Edu,96,0.3501834777038184,0.47426242871144153,0.0
xAPI-Edu,97,0.3834462057349485,0.5761243468392379,0.0
xAPI-Edu,98,0.3692013656441947,0.4634070965926518,0.0
xAPI-Edu,99,0.3188871892285758,0.4971670965358659,0.0
EntranceExam,0,0.634561101145386,0.470294185326771,0.0
EntranceExam,1,0.5901943263234054,0.40193436230021795,0.0
EntranceExam,2,0.5645237459764363,0.517769052405249,0.0
EntranceExam,3,0.5963397595389268,0.39880400957075984,0.0
EntranceExam,4,0.632477005438211,0.3982393583377417,0.0
EntranceExam,5,0.5663158576206405,0.47190294909651087,0.0
EntranceExam,6,0.5684519529803915,0.48577537511052526,0.0
EntranceExam,7,0.6164482805041741,0.4660841357367536,0.0
EntranceExam,8,0.5909628737225969,0.3326295200214884,0.0
EntranceExam,9,0.619353813971828,0.4717092328327528,0.0
EntranceExam,10,0.5977546252325323,0.373365187577126,0.0
EntranceExam,11,0.6211238424111294,0.45277285039521065,0.0
EntranceExam,12,0.5643844280823059,0.3490080477623028,0.0
EntranceExam,13,0.5978056604340635,0.4659729776078285,0.0
EntranceExam,14,0.5913172162349785,0.3876075290602195,0.0
EntranceExam,15,0.5584772672309611,0.3578333029019002,0.0
EntranceExam,16,0.5471215869641897,0.48270395986553327,0.0
EntranceExam,17,0.6206039114518599,0.4531711702353813,0.0
EntranceExam,18,0.5867348397539206,0.3996553093036618,0.0
EntranceExam,19,0.5648025337158022,0.5288229441089856,0.0
EntranceExam,20,0.5950582971543024,0.4104960903321372,0.0
EntranceExam,21,0.6350528820628094,0.4400654370102375,0.0
EntranceExam,22,0.523688680936774,0.4548767378881799,0.0
EntranceExam,23,0.5493052278679912,0.39929947567948976,0.0
EntranceExam,24,0.5680497339492484,0.46752500809492675,0.0
EntranceExam,25,0.6459372312629527,0.404691807784809,0.0
EntranceExam,26,0.6074325930503307,0.4123108119434362,0.0
EntranceExam,27,0.6232687475783675,0.5232853408116311,0.0
EntranceExam,28,0.5609513691517294,0.3729725224918613,0.0
EntranceExam,29,0.561625190058439,0.28714698706502756,0.0
EntranceExam,30,0.612830556243184,0.53881520878617,0.0
EntranceExam,31,0.6001042908365933,0.597507995691102,0.0
EntranceExam,32,0.616127782872638,0.4127091722308816,0.0
EntranceExam,33,0.5920692485385632,0.3169153679281159,0.0
EntranceExam,34,0.6072874317056706,0.4186376317272612,0.0
EntranceExam,35,0.6033662224533557,0.42015506669233627,0.0
EntranceExam,36,0.6236101543007063,0.42617820984740135,0.0
EntranceExam,37,0.6245654552967895,0.36841903482653615,0.0
EntranceExam,38,0.5452791914848367,0.4743065702045598,0.0
EntranceExam,39,0.5247821238168686,0.47086316636539627,0.0
EntranceExam,40,0.6309275237022554,0.34458783384834224,0.0
EntranceExam,41,0.6370034868857776,0.4817893214900553,0.0
EntranceExam,42,0.5648566765278901,0.5664448659700436,0.0
EntranceExam,43,0.5374395783870001,0.4488126891176925,0.0
EntranceExam,44,0.60143593747794,0.41695881759340453,0.0
EntranceExam,45,0.6286109839269947,0.4291754628617074,0.0
EntranceExam,46,0.6569279425433944,0.4765391958120375,0.0
EntranceExam,47,0.6150679262022063,0.32981029465891665,0.0
EntranceExam,48,0.5860564688746951,0.4483392375725397,0.0
EntranceExam,49,0.5690218576432253,0.4136351884602836,0.0
EntranceExam,50,0.5985745805003133,0.5536316537284355,0.0
EntranceExam,51,0.5884234780192998,0.42716338172266205,0.0
EntranceExam,52,0.5650381622902161,0.5423772533138322,0.0
EntranceExam,53,0.6651333854249815,0.36902243952605435,0.0
EntranceExam,54,0.6565219807550022,0.4747880523604954,0.0
EntranceExam,55,0.6353152167668122,0.4580344962996644,0.0
EntranceExam,56,0.5681162515810082,0.3837016225813524,0.0
EntranceExam,57,0.6261339777356543,0.44915267662901387,0.0
EntranceExam,58,0.6190970836488185,0.5138956676632884,0.0
EntranceExam,59,0.6126584474756882,0.41780528392734695,0.0
EntranceExam,60,0.6390270745373444,0.3322313927175009,0.0
EntranceExam,61,0.6189580639384392,0.43695873604015417,0.0
EntranceExam,62,0.6223767574742202,0.38161409024139764,0.0
EntranceExam,63,0.6190082170328152,0.41664509983590436,0.0
EntranceExam,64,0.6093341336607746,0.4329542192469416,0.0
EntranceExam,65,0.5399298281865728,0.33137516235509656,0.0
EntranceExam,66,0.6009323699336118,0.33700393721151195,0.0
EntranceExam,67,0.5800296555814254,0.46820867195010407,0.0
EntranceExam,68,0.5563880173906829,0.40536315684829377,0.0
EntranceExam,69,0.6531454743841926,0.27764221590727184,0.0
EntranceExam,70,0.6546868048743544,0.4871462348059485,0.0
EntranceExam,71,0.642606251120099,0.45509291678839925,0.0
EntranceExam,72,0.6065382976862203,0.3934070677708677,0.0
EntranceExam,73,0.6423254365082613,0.3556945005756941,0.0
EntranceExam,74,0.5985942442328211,0.49033383048062845,0.0
EntranceExam,75,0.6048258605539709,0.4599077773780243,0.0
EntranceExam,76,0.5624767183454041,0.5870799388804877,0.0
EntranceExam,77,0.611170186251952,0.4643384234814942,0.0
EntranceExam,78,0.6001732768006756,0.4623065816175584,0.0
EntranceExam,79,0.5556427760191236,0.4276165166512106,0.0
EntranceExam,80,0.5965278549594116,0.48914344941387927,0.0
EntranceExam,81,0.5955956987497624,0.47715392701134446,0.0
EntranceExam,82,0.6569268528085749,0.5163478646546312,0.0
EntranceExam,83,0.6274144472291137,0.40545045742660024,0.0
EntranceExam,84,0.5985743892963458,0.41082414192889294,0.0
EntranceExam,85,0.6063283565431824,0.40809114213947495,0.0
EntranceExam,86,0.5996448863440187,0.48751886532645144,0.0
EntranceExam,87,0.5915712593938927,0.5317748489192089,0.0
EntranceExam,88,0.5628375318673747,0.40935849560065507,0.0
EntranceExam,89,0.5932655962561165,0.41148924226163797,0.0
EntranceExam,90,0.5738254101664345,0.4577015603892464,0.0
EntranceExam,91,0.557352613856512,0.42268577655626316,0.0
EntranceExam,92,0.6149021010247596,0.49760456063711894,0.0
EntranceExam,93,0.6109830965729871,0.2972171151491734,0.0
EntranceExam,94,0.5398286692892563,0.38634996627776774,0.0
EntranceExam,95,0.5941923549862657,0.38912005690017704,0.0
EntranceExam,96,0.6307300656261849,0.2929277768192259,0.0
EntranceExam,97,0.6328053431282262,0.3777853028485608,0.0
EntranceExam,98,0.6317145920636565,0.380817688181792,0.0
EntranceExam,99,0.5994717622348231,0.4254788924694292,0.0
UCI,0,2.0681144720747833,0.20355904410580256,0.0
UCI,1,2.025744052905679,0.18692597503296177,0.0
UCI,2,1.9888544658729637,0.28647228252054285,0.0
UCI,3,2.2449786672137058,0.28888898216026987,0.0
UCI,4,1.9187977209456244,0.3521760335886919,0.0
UCI,5,2.3146306685239084,0.33911848444709464,0.0
UCI,6,1.977346344711849,0.2532391408261918,0.0
